Mac1,Mac2,peso
200574,219196,3
200574,219261,3
220956,197210,3
219687,200565,3
214177,208775,3
200574,219967,3
180693,211240,3
201000,200898,3
208174,213385,3
200580,200922,3
200580,200631,3
200631,180418,3
169904,205766,3
180693,41302,3
215254,203863,3
215254,201641,3
211790,173455,3
177340,207903,3
215254,203345,3
211790,175974,3
169766,200631,3
169766,200718,3
215254,205766,3
201876,201503,3
211790,200565,3
211790,200582,3
177340,204567,3
169766,201538,3
177340,203375,3
203096,200898,3
215254,201583,3
215254,201349,3
177340,208351,3
180433,203345,3
206762,203345,3
177340,208775,3
215254,201076,3
209427,200631,3
200922,205929,3
206762,202579,3
180433,180462,3
215254,200922,3
206762,175252,3
203612,200618,3
206762,177340,3
200613,201076,3
177340,202765,3
203083,210060,3
200574,222807,3
133483,200718,3
211517,214600,3
158876,158866,3
211517,213385,3
215254,211517,3
205929,221390,3
206732,206735,3
200991,203345,3
211790,201279,3
219304,219891,3
169904,200792,3
200574,224784,3
200580,169904,3
200574,224185,3
200991,204754,3
177340,169904,3
211790,212077,3
205628,200597,3
177340,182021,3
202012,201279,3
205628,207791,3
177340,200599,3
200603,208351,3
177340,200898,3
206755,205929,3
215254,208775,3
177340,201279,3
211790,203345,3
211517,221173,3
211790,202117,3
211517,221268,3
215254,206494,3
200631,216324,3
205998,204231,3
200574,204610,3
211362,204231,3
205452,200565,3
180215,210136,3
219891,209096,3
200683,204567,3
219891,210136,3
175586,208210,3
200683,205929,3
175586,211362,3
203838,212077,3
226328,217481,3
219891,216201,3
201394,200718,3
201583,183360,3
175586,203345,3
180215,211240,3
200597,204755,3
203718,200631,3
200591,200697,3
180874,201076,3
200683,177340,3
200580,204567,3
203065,208351,3
217471,200580,3
219891,200718,3
219891,202852,3
207112,200582,3
217471,191449,3
200574,209006,3
217471,184219,3
201394,200991,3
219891,203905,3
200683,202579,3
200574,208210,3
200574,208125,3
180874,205929,3
219509,184251,3
205428,201230,3
219891,223344,3
220270,221268,3
200792,202579,3
203863,169904,3
211745,219343,3
203863,180215,3
201394,200631,3
219891,225026,3
220270,204754,3
202767,215915,3
206494,205766,3
203301,202866,3
206895,210719,3
205429,200599,3
201394,180215,3
219196,204567,3
164533,213807,3
200683,210060,3
180215,208028,3
