Mac1,Mac2
2926,168997
169421,169415
169422,169423
169086,169424
169425,169424
169425,169086
169426,169427
169428,169429
169430,169431
169432,169433
169434,169435
169436,169437
169438,169439
169023,72283
169440,169441
169442,169435
142546,169435
169442,142546
169443,169444
169228,169444
169228,169443
169445,169446
169446,169447
169442,169446
169445,169447
169442,169445
169442,169447
169448,169012
169438,169012
169438,169448
169449,169450
169451,169452
169442,169453
169454,169453
169442,169454
169441,169149
169149,169455
169441,169455
169456,169457
169457,169458
169228,169457
169456,169458
169228,169456
169228,169458
169459,169460
169302,169461
169462,169463
169462,169464
169462,169465
169462,169466
169463,169464
169465,169463
169463,169466
169465,169464
169464,169466
169465,169466
169467,169468
169467,169469
169470,169467
169468,169469
169470,169468
169470,169469
169471,169472
169473,169471
169451,169471
169471,133205
169471,169474
169471,169449
169012,169471
169473,169472
169451,169472
133205,169472
169474,169472
169472,169449
169012,169472
169451,169473
169473,133205
169473,169474
169473,169449
169473,169012
169451,133205
169451,169474
169451,169449
169451,169012
133205,169474
133205,169449
169012,133205
169474,169449
169012,169474
169012,169449
169475,169476
169477,169478
169477,169149
169477,169289
169477,169457
169477,169479
169477,169480
169477,169481
169478,169149
169289,169478
169478,169457
169478,169479
169480,169478
169478,169481
169289,169149
169457,169149
169479,169149
169480,169149
169481,169149
169289,169457
169289,169479
169289,169480
169289,169481
169457,169479
169480,169457
169457,169481
169480,169479
169481,169479
169480,169481
169456,169482
169456,169023
169456,169455
169482,169023
169482,169455
169023,169455
169483,145796
169484,169483
169485,169483
169484,145796
169485,145796
169485,169484
169486,169487
169488,169489
169490,133302
169491,169490
169491,133302
169462,169492
169492,169493
169488,169492
169462,169493
169488,169462
169488,169493
169012,169494
169495,169494
169289,169494
169495,169012
169289,169012
169495,169289
169456,169302
169456,169496
169456,169482
169302,169496
169482,169302
169482,169496
169497,169498
169498,169499
169497,169499
169500,169023
169501,169500
169501,169023
169502,169500
169502,169503
169500,169503
169504,169505
169504,169506
169504,169475
169438,169504
169506,169505
169475,169505
169438,169505
169506,169475
169438,169506
169438,169475
169507,169508
169507,169503
169507,169509
169289,169507
169510,169507
169511,169507
169503,169508
169508,169509
169289,169508
169510,169508
169511,169508
169503,169509
169289,169503
169510,169503
169511,169503
169289,169509
169510,169509
169511,169509
169289,169510
169289,169511
169511,169510
169512,169513
169514,169513
169515,169513
169516,169513
169514,169512
169512,169515
169516,169512
169514,169515
169516,169514
169516,169515
169517,169471
169282,169471
169471,169518
169012,169471
169517,169282
169517,169518
169012,169517
169282,169518
169012,169282
169012,169518
169519,169520
128170,169520
169074,169520
169501,169520
169519,128170
169074,169519
169501,169519
169074,128170
169501,128170
169074,169501
169521,169440
169521,169522
169521,169523
169522,169440
169440,169523
169522,169523
169524,169525
169526,169525
169524,169526
169502,169527
169528,169502
169528,169527
169529,169302
169302,169530
169529,169530
169531,169289
169531,169532
169531,33610
169531,169533
169289,169532
169289,33610
169289,169533
33610,169532
169533,169532
33610,169533
169511,169459
169534,169459
169535,169459
169534,169511
169511,169535
169534,169535
169507,169536
169507,169149
169507,169537
169507,169518
169536,169149
169537,169536
169536,169518
169537,169149
169149,169518
169537,169518
169442,169538
169442,169539
169442,169519
169442,169540
169442,169541
169538,169539
169538,169519
169538,169540
169538,169541
169539,169519
169539,169540
169541,169539
169519,169540
169541,169519
169541,169540
169440,169542
169448,169542
169448,169440
169510,169543
169517,169543
169523,169543
169510,169517
169510,169523
169517,169523
169471,169544
169012,169545
169308,169545
169546,169545
169012,169308
169546,169012
169546,169308
169502,169547
169531,169547
138929,169547
169547,169526
169531,169502
138929,169502
169502,169526
169531,138929
169531,169526
138929,169526
169548,145796
169549,145796
169289,145796
169550,145796
169549,169548
169289,169548
169550,169548
169289,169549
169550,169549
169550,169289
5494,169214
169551,169214
169551,5494
169552,169553
135192,169553
169554,169553
169555,169553
169556,169553
169557,169553
135192,169552
169552,169554
169555,169552
169556,169552
169557,169552
135192,169554
169555,135192
169556,135192
169557,135192
169555,169554
169556,169554
169557,169554
169555,169556
169557,169555
169557,169556
168495,169558
169559,169558
169560,169558
169561,169558
168495,169559
168495,169560
168495,169561
169559,169560
169559,169561
169560,169561
169302,169075
169562,169075
169302,169562
169563,169564
169563,169565
169563,169544
169563,169566
169563,169567
169563,169533
169564,169565
169564,169544
169566,169564
169567,169564
169564,169533
169565,169544
169566,169565
169567,169565
169565,169533
169566,169544
169567,169544
169533,169544
169567,169566
169566,169533
169567,169533
169568,169569
169568,169570
169568,169571
169570,169569
169569,169571
169570,169571
169572,169573
169534,169572
169572,169574
169534,169573
169573,169574
169534,169574
169502,169575
169526,169576
169577,169576
169289,169576
169577,169526
169289,169526
169289,169577
5494,169578
146170,169578
168997,169578
169579,169578
169580,169578
169581,169578
5494,146170
5494,168997
5494,169579
169580,5494
5494,169581
146170,168997
146170,169579
169580,146170
146170,169581
168997,169579
169580,168997
168997,169581
169580,169579
169581,169579
169580,169581
169190,169582
169555,169190
169583,169190
169584,169190
169555,169582
169583,169582
169584,169582
169555,169583
169584,169555
169584,169583
169556,169585
169586,169462
169551,169586
169586,169560
169586,169587
169586,169075
169586,141782
169551,169462
169560,169462
169462,169587
169462,169075
169462,141782
169551,169560
169551,169587
169551,169075
169551,141782
169560,169587
169560,169075
169560,141782
169587,169075
169587,141782
141782,169075
169588,169589
169588,169574
169574,169589
169590,169591
153416,169590
169592,169590
153416,169591
169592,169591
153416,169592
169593,169594
169502,169595
169596,169502
169597,169502
149882,169502
169196,169502
169596,169595
169597,169595
149882,169595
169196,169595
169596,169597
149882,169596
169596,169196
149882,169597
169196,169597
149882,169196
169302,169440
169440,169576
169289,169440
169302,169576
169289,169302
169289,169576
169598,169599
169600,169067
169067,169601
169583,169067
168997,169067
169602,169067
169067,169256
169600,169601
169583,169600
168997,169600
169600,169602
169600,169256
169583,169601
168997,169601
169602,169601
169601,169256
168997,169583
169583,169602
169583,169256
168997,169602
168997,169256
169602,169256
169557,169587
169551,169284
169459,169284
169603,169284
169284,169590
169551,169459
169551,169603
169551,169590
169459,169603
169459,169590
169603,169590
169604,169605
169604,169502
169604,169052
169604,169606
169604,139059
169604,169607
169502,169605
169052,169605
169606,169605
139059,169605
169607,169605
169052,169502
169606,169502
169502,139059
169502,169607
169052,169606
169052,139059
169052,169607
169606,139059
169606,169607
139059,169607
169555,169608
169608,169609
169610,169608
169555,169609
169555,169610
169610,169609
97746,169611
169611,169302
169611,169612
169611,169613
97746,169302
97746,169612
97746,169613
169302,169612
169613,169302
169613,169612
169614,169615
169289,169615
169614,169289
169616,169617
169462,169618
169618,169619
169620,169618
169462,169619
169620,169462
169620,169619
169086,169621
169086,168997
169086,169622
169086,169623
169624,169086
168997,169621
169621,169622
169623,169621
169624,169621
168997,169622
169623,168997
169624,168997
169623,169622
169624,169622
169624,169623
169625,169597
169625,169626
169625,169627
