Mac1,Mac2,peso
186999,178468,3
191746,190780,3
168997,169249,3
178705,170096,3
176181,194321,3
169836,186386,3
197758,178468,3
21268,170039,3
179235,170096,3
171544,169729,3
179235,171161,3
169365,178518,3
189032,194881,3
184204,189845,3
170427,170101,3
171544,169440,3
168997,169256,3
178586,169729,3
178032,156,3
171324,180599,3
2926,172540,3
196150,197091,3
169103,170897,3
169365,191337,3
152729,178468,3
172666,194584,3
170374,186999,3
183457,182503,3
170101,171161,3
178511,179235,3
169654,170346,3
186999,125047,3
177588,181462,3
178518,173298,3
178511,169023,3
185149,170507,3
186492,186386,3
169284,186032,3
171324,170096,3
170993,169718,3
170993,169826,3
169961,186631,3
173241,135431,3
180268,186032,3
170993,169961,3
187795,190112,3
170993,171168,3
175996,170096,3
177588,175325,3
178032,181462,3
175325,172191,3
169566,169612,3
173298,186480,3
169365,183457,3
175996,169718,3
184462,190780,3
169365,184532,3
170993,173031,3
169659,190112,3
169654,181462,3
191657,169729,3
175325,184204,3
169836,169849,3
174581,171749,3
197755,184477,3
169103,172280,3
178707,170993,3
189032,173997,3
169836,169659,3
187177,178468,3
172666,169810,3
171699,89946,3
189032,170993,3
169654,186738,3
169654,169659,3
183457,182962,3
21268,178468,3
171394,170993,3
183457,170993,3
178032,186386,3
195118,195385,3
191319,175252,3
173062,169165,2
197231,187908,2
178518,186738,2
180695,170993,2
175904,170562,2
169729,189854,2
173090,143452,2
169729,171084,2
186576,170993,2
172249,170820,2
169729,189694,2
178518,187093,2
191322,190839,2
197091,175297,2
178518,186999,2
178518,156,2
178518,186691,2
133648,169836,2
169061,133435,2
169729,192385,2
197242,197244,2
169061,171586,2
169061,171783,2
171134,170096,2
175996,133435,2
178518,187607,2
193802,193643,2
169061,172028,2
188442,192643,2
133248,172540,2
179960,169037,2
133843,171370,2
172296,169103,2
178511,181110,2
178518,187795,2
169729,169954,2
169729,169849,2
169729,169847,2
146891,179499,2
169729,169810,2
183936,186032,2
197251,196896,2
169061,172191,2
175903,175302,2
182503,186996,2
173961,173813,2
133292,170096,2
171140,171161,2
192896,192898,2
178518,187201,2
169729,190112,2
171168,138325,2
173090,169034,2
188368,194321,2
178518,187326,2
133263,169904,2
172243,172273,2
133262,186999,2
197089,189919,2
171168,169075,2
146069,169255,2
175903,184204,2
171168,169440,2
169061,171179,2
188442,169836,2
171168,169729,2
169061,171345,2
171168,170096,2
171168,170389,2
188442,174564,2
182462,170993,2
173090,169718,2
169061,171196,2
169729,174671,2
197091,194584,2
174684,171132,2
178518,172538,2
178518,181783,2
133740,181017,2
170583,170485,2
133740,179695,2
171149,187795,2
181657,175252,2
176659,171003,2
169061,168994,2
169061,169440,2
171149,192165,2
171149,193738,2
169061,169003,2
169729,183510,2
169061,169396,2
169245,169302,2
178518,181046,2
169061,165891,2
171150,172316,2
179912,179501,2
182486,182467,2
173916,195023,2
191318,197327,2
169729,186032,2
169729,185498,2
191319,138325,2
169729,185017,2
169245,172666,2
