mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
2C:29:97:0C:D7:8C,33.0,0.0,0.0,0.0,24.2424242424,51.5151515152,24.2424242424,0.549145299145,78
9C:D9:17:32:55:8C,32.0,0.0,0.0,12.5,21.875,31.25,28.125,0.25,118
94:01:C2:97:96:CB,32.0,0.0,0.0,6.25,21.875,50.0,21.875,0.25,62
E4:58:E7:54:BE:9F,31.0,0.0,0.0,41.935483871,38.7096774194,9.67741935484,9.67741935484,0.25,123
00:3E:EE:DE:DF:64,30.0,0.0,0.0,0.0,16.6666666667,53.3333333333,30.0,0.25,57
40:6F:2A:E5:70:90,30.0,0.0,0.0,0.0,6.66666666667,3.33333333333,56.6666666667,0.271505376344,155
F4:F1:5A:AF:7E:0A,30.0,0.0,0.0,6.66666666667,13.3333333333,53.3333333333,26.6666666667,0.25,87
A8:96:8A:82:BF:EB,30.0,0.0,0.0,20.0,33.3333333333,33.3333333333,13.3333333333,0.25,120
D8:E5:6D:2B:C5:96,29.0,0.0,0.0,0.0,48.275862069,20.6896551724,31.0344827586,0.270833333333,80
B0:C5:59:53:42:21,28.0,0.0,0.0,32.1428571429,46.4285714286,21.4285714286,0.0,0.25,55
DC:C7:93:42:A9:8C,28.0,50.0,0.0,32.1428571429,46.4285714286,17.8571428571,3.57142857143,0.25,60
AC:B5:7D:15:B1:64,28.0,0.0,0.0,7.14285714286,39.2857142857,35.7142857143,17.8571428571,0.313291139241,79
68:9C:5E:9F:75:10,28.0,0.0,0.0,21.4285714286,42.8571428571,25.0,10.7142857143,0.25,120
F4:8E:92:98:EF:DB,28.0,0.0,0.0,7.14285714286,32.1428571429,42.8571428571,17.8571428571,0.25,51
00:26:FF:C4:90:FB,27.0,16.6666666667,0.0,3.7037037037,11.1111111111,55.5555555556,29.6296296296,0.25,27
40:B0:FA:A6:89:A0,27.0,0.0,0.0,62.962962963,14.8148148148,11.1111111111,11.1111111111,0.25,51
B0:45:19:62:95:37,27.0,0.0,0.0,48.1481481481,11.1111111111,40.7407407407,0.0,0.25,77
