mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
10:A5:D0:7A:AA:47,46.0,100.0,0.0,4.34782608696,17.3913043478,26.0869565217,52.1739130435,0.278735632184,58
34:AA:8B:8C:84:7E,46.0,0.0,2.17391304348,58.6956521739,23.9130434783,15.2173913043,0.0,0.25,46
3C:CB:7C:68:71:62,45.0,0.0,6.66666666667,22.2222222222,26.6666666667,26.6666666667,11.1111111111,0.25,453
B0:47:BF:8F:B8:E7,45.0,0.0,0.0,13.3333333333,24.4444444444,60.0,2.22222222222,0.25,45
60:92:17:08:55:B1,45.0,0.0,0.0,13.3333333333,37.7777777778,33.3333333333,15.5555555556,0.25,64
40:40:A7:51:6F:94,44.0,0.0,9.09090909091,18.1818181818,29.5454545455,29.5454545455,9.09090909091,0.25,91
84:8E:DF:1C:1B:C4,44.0,0.0,0.0,0.0,15.9090909091,31.8181818182,50.0,0.25,44
10:3B:59:FE:2D:3B,44.0,0.0,2.27272727273,27.2727272727,27.2727272727,34.0909090909,9.09090909091,0.25,133
0C:30:21:82:42:DC,44.0,0.0,4.54545454545,18.1818181818,34.0909090909,27.2727272727,15.9090909091,0.276178010471,191
EC:9B:F3:05:5E:16,44.0,0.0,0.0,38.6363636364,38.6363636364,20.4545454545,2.27272727273,0.25,410
E8:99:C4:80:E0:7A,44.0,0.0,9.09090909091,25.0,31.8181818182,13.6363636364,9.09090909091,0.25,72
78:D6:F0:81:D5:B3,44.0,100.0,0.0,0.0,43.1818181818,31.8181818182,25.0,0.25,44
B8:44:D9:98:FC:3F,44.0,0.0,0.0,20.4545454545,50.0,27.2727272727,2.27272727273,0.25,44
20:D3:90:6E:9A:3D,44.0,0.0,0.0,25.0,29.5454545455,29.5454545455,15.9090909091,0.25,44
40:0E:85:7E:FC:DC,44.0,0.0,0.0,38.6363636364,34.0909090909,25.0,2.27272727273,0.25,540
84:8E:0C:15:8C:2E,44.0,0.0,0.0,4.54545454545,34.0909090909,43.1818181818,18.1818181818,0.25,44
84:63:D6:8B:8D:EC,44.0,0.0,2.27272727273,20.4545454545,31.8181818182,22.7272727273,20.4545454545,0.25,182
E4:40:E2:82:75:49,44.0,0.0,0.0,15.9090909091,36.3636363636,29.5454545455,18.1818181818,0.25,78
9C:02:98:52:68:06,44.0,0.0,0.0,18.1818181818,27.2727272727,31.8181818182,22.7272727273,0.25,44
44:D4:E0:BD:30:18,44.0,0.0,0.0,13.6363636364,25.0,43.1818181818,18.1818181818,0.25,86
18:34:51:3F:8F:63,44.0,0.0,2.27272727273,36.3636363636,31.8181818182,20.4545454545,9.09090909091,0.25,80
9C:A9:E4:EF:91:AC,43.0,0.0,0.0,6.97674418605,41.8604651163,34.8837209302,16.2790697674,0.324074074074,45
14:1A:A3:98:D3:61,43.0,0.0,0.0,39.5348837209,41.8604651163,18.6046511628,0.0,0.25,171
F0:99:BF:0E:BE:DC,43.0,25.0,2.32558139535,27.9069767442,39.5348837209,30.2325581395,0.0,0.25,43
24:4B:81:EC:87:30,43.0,0.0,0.0,9.3023255814,83.7209302326,6.97674418605,0.0,0.25,43
E4:40:E2:67:12:BC,43.0,0.0,0.0,20.9302325581,32.5581395349,32.5581395349,13.9534883721,0.25,43
B4:EF:39:69:DE:A5,43.0,100.0,20.9302325581,39.5348837209,23.2558139535,11.6279069767,4.6511627907,0.25,83
8C:99:E6:60:76:36,43.0,0.0,16.2790697674,18.6046511628,11.6279069767,11.6279069767,18.6046511628,0.25,285
C4:50:06:62:A5:7C,42.0,0.0,0.0,33.3333333333,42.8571428571,14.2857142857,9.52380952381,0.25,159
60:8F:5C:47:17:DF,42.0,0.0,0.0,19.0476190476,21.4285714286,40.4761904762,19.0476190476,0.25,42
A0:99:9B:6C:F9:10,42.0,0.0,0.0,14.2857142857,21.4285714286,21.4285714286,21.4285714286,0.25,42
F4:F1:E1:DE:1D:C5,42.0,50.0,2.38095238095,19.0476190476,28.5714285714,30.9523809524,19.0476190476,0.25,42
7C:01:91:BF:A2:E3,42.0,50.0,0.0,4.7619047619,28.5714285714,52.380952381,14.2857142857,0.25,42
F4:09:D8:36:88:10,42.0,0.0,4.7619047619,7.14285714286,26.1904761905,42.8571428571,14.2857142857,0.25,55
30:75:12:49:52:CD,42.0,0.0,0.0,2.38095238095,38.0952380952,45.2380952381,14.2857142857,0.25,75
F4:42:8F:7C:3F:FF,42.0,0.0,7.14285714286,19.0476190476,19.0476190476,16.6666666667,23.8095238095,0.25,72
70:EC:E4:0C:40:B2,42.0,33.3333333333,2.38095238095,19.0476190476,28.5714285714,26.1904761905,23.8095238095,0.25,42
70:3E:AC:65:85:90,42.0,0.0,0.0,16.6666666667,21.4285714286,45.2380952381,16.6666666667,0.288759689922,43
20:55:31:F8:75:18,42.0,0.0,2.38095238095,42.8571428571,35.7142857143,19.0476190476,0.0,0.25,402
84:8E:0C:77:F5:01,42.0,0.0,0.0,19.0476190476,45.2380952381,16.6666666667,19.0476190476,0.25,55
18:3A:2D:CD:28:38,41.0,0.0,2.43902439024,24.3902439024,29.2682926829,34.1463414634,9.75609756098,0.25,41
