mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
A8:7C:01:D4:E1:3D,30.0,0.0,0.0,10.0,90.0,0.0,0.0,0.25,117
00:09:22:76:6D:A2,29.0,14.2857142857,0.0,20.6896551724,20.6896551724,20.6896551724,13.7931034483,0.25,80
34:BB:1F:DE:D4:1A,29.0,0.0,0.0,3.44827586207,34.4827586207,62.0689655172,0.0,0.25,85
A8:7C:01:57:24:E3,29.0,0.0,0.0,10.3448275862,13.7931034483,37.9310344828,10.3448275862,0.324074074074,90
CC:FA:00:D6:29:68,29.0,0.0,0.0,3.44827586207,31.0344827586,31.0344827586,34.4827586207,0.25,142
88:C9:D0:B3:34:1E,29.0,100.0,0.0,27.5862068966,27.5862068966,34.4827586207,10.3448275862,0.25,106
08:EE:8B:65:57:A5,29.0,0.0,0.0,10.3448275862,17.2413793103,41.3793103448,31.0344827586,0.25,52
0C:B3:19:8F:70:A4,29.0,0.0,0.0,0.0,37.9310344828,44.8275862069,17.2413793103,0.26572327044,106
30:7C:30:02:9B:F6,29.0,0.0,0.0,3.44827586207,13.7931034483,41.3793103448,41.3793103448,0.25,67
38:94:96:91:DE:79,29.0,0.0,0.0,13.7931034483,31.0344827586,31.0344827586,24.1379310345,0.25,78
40:F3:08:83:94:F1,29.0,0.0,0.0,13.7931034483,34.4827586207,27.5862068966,24.1379310345,0.25,92
D0:92:9E:12:BB:60,29.0,0.0,0.0,20.6896551724,20.6896551724,31.0344827586,17.2413793103,0.25,145
50:FC:9F:CD:41:A0,29.0,0.0,0.0,20.6896551724,31.0344827586,27.5862068966,20.6896551724,0.5,362
E8:15:0E:6A:84:28,29.0,0.0,0.0,17.2413793103,51.724137931,27.5862068966,3.44827586207,0.273148148148,72
8C:BF:A6:17:46:CA,28.0,0.0,0.0,10.7142857143,28.5714285714,28.5714285714,32.1428571429,0.25,51
14:89:FD:68:F8:06,28.0,0.0,0.0,14.2857142857,28.5714285714,35.7142857143,21.4285714286,0.25,151
08:FD:0E:50:08:E8,28.0,0.0,0.0,32.1428571429,21.4285714286,21.4285714286,17.8571428571,0.25,63
10:A5:D0:D7:32:B8,28.0,0.0,0.0,25.0,35.7142857143,25.0,10.7142857143,0.380208333333,64
1C:69:A5:F0:09:0A,28.0,0.0,0.0,60.7142857143,39.2857142857,0.0,0.0,0.25,55
00:AA:70:C6:97:5C,28.0,50.0,0.0,3.57142857143,25.0,39.2857142857,32.1428571429,0.25,130
F8:0C:F3:B1:3F:F2,28.0,0.0,0.0,14.2857142857,46.4285714286,28.5714285714,10.7142857143,0.25,84
08:FD:0E:4F:FA:B0,27.0,0.0,0.0,11.1111111111,33.3333333333,33.3333333333,22.2222222222,0.432648401826,146
B4:52:7E:CB:30:40,27.0,0.0,0.0,0.0,0.0,14.8148148148,85.1851851852,0.25,27
64:89:9A:64:25:F1,27.0,0.0,0.0,22.2222222222,33.3333333333,29.6296296296,14.8148148148,0.277322404372,61
C8:14:79:A7:7E:8D,27.0,50.0,0.0,0.0,25.9259259259,40.7407407407,33.3333333333,0.25,62
94:EB:CD:FA:3B:2A,26.0,100.0,0.0,15.3846153846,46.1538461538,26.9230769231,11.5384615385,0.337719298246,38
00:11:E1:EF:C7:50,26.0,0.0,0.0,23.0769230769,30.7692307692,26.9230769231,19.2307692308,0.25,73
84:63:D6:ED:6B:10,26.0,0.0,0.0,46.1538461538,26.9230769231,11.5384615385,11.5384615385,0.25,131
40:5F:BE:06:62:72,26.0,0.0,0.0,3.84615384615,7.69230769231,53.8461538462,34.6153846154,0.25,32
20:6E:9C:FD:C7:CE,26.0,50.0,3.84615384615,38.4615384615,19.2307692308,23.0769230769,7.69230769231,0.25,101
58:A2:B5:F4:5A:B0,26.0,0.0,0.0,3.84615384615,30.7692307692,23.0769230769,15.3846153846,0.25,57
3C:CB:7C:29:BC:0B,26.0,0.0,0.0,11.5384615385,38.4615384615,30.7692307692,19.2307692308,0.25,70
10:92:66:E6:6F:D8,25.0,50.0,0.0,20.0,16.0,24.0,24.0,0.25,100
C4:50:06:F0:EE:D6,25.0,0.0,0.0,0.0,32.0,56.0,12.0,0.25,32
40:6F:2A:E7:BB:01,25.0,0.0,0.0,16.0,16.0,8.0,32.0,0.25,65
40:0E:85:62:BD:B8,25.0,0.0,0.0,8.0,56.0,36.0,0.0,0.25,25
B4:52:7E:97:7E:6E,25.0,0.0,0.0,12.0,24.0,12.0,24.0,0.25,47
00:7E:0E:04:58:A1,25.0,0.0,0.0,4.0,44.0,48.0,4.0,0.480352303523,123
CC:3A:61:DB:FC:70,25.0,0.0,0.0,28.0,24.0,20.0,28.0,0.302083333333,64
CC:89:FD:A2:18:CC,25.0,0.0,0.0,4.0,36.0,36.0,24.0,0.429487179487,65
80:96:B1:AC:61:6F,25.0,0.0,0.0,0.0,16.0,60.0,24.0,0.25,45
0C:B3:19:26:F3:23,25.0,0.0,0.0,4.0,8.0,68.0,12.0,0.25,109
